Date,Test Count
4/1/2020,5347
4/2/2020,6707
4/3/2020,7220
4/4/2020,6824
4/5/2020,5605
4/6/2020,5045
4/7/2020,6995
4/8/2020,7706
4/9/2020,8166
4/10/2020,8205
4/11/2020,7934
4/12/2020,6496
4/13/2020,6396
4/14/2020,6423
4/15/2020,6785
4/16/2020,6736
4/17/2020,7528
4/18/2020,6921
4/19/2020,5611
4/20/2020,5239
4/21/2020,5705
4/22/2020,6107
4/23/2020,7032
4/24/2020,7336
4/25/2020,7022
4/26/2020,5214
4/27/2020,5232
4/28/2020,5899
4/29/2020,6629
4/30/2020,7084
5/1/2020,6882
5/2/2020,6846
5/3/2020,5104
5/4/2020,4347
5/5/2020,5332
5/6/2020,6221
5/7/2020,6630
5/8/2020,6716
5/9/2020,6311
5/10/2020,4776
5/11/2020,4434
